name;ip;vendor;connection;device_type
bcn1-c01-drj1;10.95.58.33 ;Juniper;ssh;router
bcn1-p12-swc1;10.95.58.47;Cisco;ssh;switch
bcn1-p14-swc1;10.95.58.48;Cisco;ssh;switch
boe1-c01-swc4;10.95.80.190;Cisco;telnet;switch
boe1-c01-swj1;10.95.80.181;Juniper;ssh;switch
boe1-lea-05j1;10.95.116.212;Juniper;ssh;switch
boe1-lea-a07-drac;10.95.80.179;Cisco;telnet;switch
boe1-lea-anly-01;10.95.80.187;Cisco;telnet;switch
boe1-lea-swc1;10.95.80.174;Cisco;telnet;switch
boe1-lea-swj1;10.95.80.183;Juniper;ssh;switch
boe1-leb-gbic-01;10.95.80.188;Cisco;telnet;switch
boe1-leb-oob1;10.95.80.186;Cisco;ssh;switch
boe1-leb-swc1;10.95.80.175;Cisco;telnet;switch
boe1-leb-swj1;10.95.80.184;Juniper;ssh;switch
boe1-lec-swc1;10.95.80.180;Cisco;telnet;switch
boe1-lec-swj1;10.95.80.182;Juniper;ssh;switch
boe1-pbi-swc1;10.95.80.167;Cisco;telnet;switch
boe1-pdd-swc1;10.95.80.170;Cisco;telnet;switch
boe1-pmm-swc1;10.95.80.171;Cisco;telnet;switch
boe1-psd-rngin;10.95.116.148;Cisco;telnet;switch
boe1-psd-swc1;10.95.80.176;Cisco;telnet;switch
boe1-stx-drj1;10.95.80.130;Juniper;ssh;router
boe1-stx-drj2;10.95.80.131;Juniper;ssh;router
boe1-stx-oob1;10.95.80.185;Cisco;telnet;switch
dco1-p02-swc1;10.95.245.96;Cisco;telnet;switch
dco1-p03-swc1;10.95.245.117;Cisco;telnet;switch
dco1-p08-swc1;10.95.245.118;Cisco;telnet;switch
dco2-c00-swj1;10.95.245.107;Juniper;ssh;switch
dco2-c01-ilc1;10.95.245.95;Cisco;telnet;switch
dco2-c02-ilc1;10.95.245.116;Cisco;telnet;switch
dco2-c02-ilc2;10.95.245.119;Cisco;telnet;switch
dco2-c03-drj1;10.95.245.105;Juniper;ssh;router
dco2-c03-drj2;10.95.245.106;Juniper;ssh;router
dco2-c03-ilc1;10.95.245.121;Cisco;telnet;switch
dco2-c03-ilc2;10.95.245.113;Cisco;telnet;switch
dco2-c03-oob1;10.95.245.99;Cisco;telnet;switch
dco2-c03-swc3;10.95.245.103;Cisco;telnet;switch
dco2-c03-swd2;10.95.245.102;Dell;ssh;switch
dco2-c04-ilc1;10.95.245.123;Cisco;telnet;switch
dco2-c04-ilc2;10.95.245.124;Cisco;telnet;switch
dco2-c04-swc1;10.95.245.104;Cisco;telnet;switch
dco2-c04-swj1;10.95.245.111;Juniper;ssh;switch
dcs2-sca-swj1;10.95.245.120;Juniper;ssh;switch
gra1-svd-drc1;10.95.124.34 ;Cisco;telnet;router
gra1-svd-swc1;10.95.124.36 ;Cisco;telnet;switch
jcm3-p04-drj1;10.95.48.1 ;Juniper;ssh;router
WAL1-SVD-DRC1;10.95.127.34 ;Cisco;telnet;router
WAL1-SVD-SWC1;10.95.127.35;Cisco;telnet;switch
DCS3-SCT-FWC1;10.95.95.90;Cisco;ssh;firewall
DCS3-SCT-FWC2;10.95.95.91;Cisco;ssh;firewall
DCS3-C01-SWC2;10.95.238.3;Cisco;ssh;switch
DCS3-SCT-SWC1;10.95.238.4;Cisco;ssh;switch
DCS3-C03-SWC2;10.95.238.5;Cisco;ssh;switch
DCS3-C01-COC1;10.95.238.6;Cisco;ssh;switch
DCS3-C03-SWC1;10.95.238.7;Cisco;ssh;switch
DCS3-C04-SWC1;10.95.238.8;Cisco;ssh;switch
DCS3-C05-SWC1;10.95.238.9;Cisco;ssh;switch
DCS3-C01-SWC1;10.95.238.10;Cisco;ssh;switch
DCS3-C02-SWC1;10.95.238.12;Cisco;ssh;switch
DCS3-C02-SWC2;10.95.238.13;Cisco;ssh;switch
DCS3-SCT-SWJ1;10.95.238.14;Juniper;ssh;switch
DCS3-SCT-SWJ2;10.95.238.15;Juniper;ssh;switch
DCO1-P05-SWC1;10.95.238.16;Cisco;ssh;switch
DCS2-SCA-SWJ2;10.95.238.17;Juniper;ssh;switch
DCS3-P03-SWC1;10.95.238.18;Cisco;ssh;switch
DCO2-C02-FWC3;10.95.245.91;Cisco;ssh;firewall
DCO2-C02-FWC4;10.95.245.92;Cisco;ssh;firewall
BOE1-C01-FWC1;10.95.116.220;Cisco;ssh;firewall
BOE1-C01-FWC2;10.95.116.221;Cisco;ssh;firewall
BOE1-LEC-14A1;10.95.80.158;Arista;ssh;switch
BOE1-LEC-22C1;10.95.80.177;Cisco;ssh;switch
BOE1-LEC-23D1;10.95.80.159;Dell;ssh;switch
